,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,157,MKHL,500,-0.1,-0.02,491,508,491,"3,586.00",500.1,,157,MKHL,-,491,508,491,500,500,0,0,502.1,"3,586.00",500.1,"1,800,544.20",73,-0.1,17,-0.02,3.46,-0.42,604.35,672.32,915,457,
,,158,MKJC,443,-6,-1.34,439,450,439,"3,072.00",449,,158,MKJC,-,439,450,439,443,443,0,0,446.05,"3,072.00",449,"1,370,275.40",25,-6,11,-1.34,2.51,-0.69,494.85,506.29,635,434.1,
,,159,MLBBL,"1,055.00",-7,-0.66,"1,062.00","1,062.00","1,046.20",691,"1,062.00",,159,MLBBL,-,"1,062.00","1,062.00","1,046.20","1,055.00","1,055.00",0,0,"1,056.07",691,"1,062.00","729,746.20",11,-7,15.8,-0.66,1.51,-0.1,"1,219.82","1,292.40","1,661.00","1,045.00",
,,160,MLBL,349.7,-0.3,-0.09,345.2,349.9,345.2,"2,477.00",350,,160,MLBL,-,345.2,349.9,345.2,349.7,349.7,0,0,347.95,"2,477.00",350,"861,868.80",36,-0.3,4.7,-0.09,1.36,0.5,367.22,369.88,418,330.7,
,,161,MLBLD89,"1,250.00",-29,-2.27,"1,250.00","1,250.00","1,250.00",25,"1,279.00",,161,MLBLD89,-,"1,250.00","1,250.00","1,250.00","1,250.00","1,250.00",0,0,"1,250.00",25,"1,279.00","31,250.00",1,-29,0,-2.27,0,0,"1,232.06",0,"1,350.00","1,196.50",
,,162,MLBS,"1,100.10",-16,-1.43,"1,114.00","1,114.00","1,100.00",419,"1,116.10",,162,MLBS,-,"1,114.00","1,114.00","1,100.00","1,100.10","1,100.10",0,0,"1,107.94",419,"1,116.10","464,225.10",16,-16,14,-1.43,1.27,-0.71,"1,290.37","1,354.06","1,666.00","1,100.00",
,,163,MLBSL,"1,195.00",-84,-6.57,"1,279.10","1,279.10","1,195.00","9,186.00","1,279.00",,163,MLBSL,-,"1,279.10","1,279.10","1,195.00","1,195.00","1,195.00",0,0,"1,225.07","9,186.00","1,279.00","11,253,536.40",231,-84,84.1,-6.57,7.04,-2.52,"1,779.54","1,839.94","2,272.50","1,195.00",
,,164,MMF1,8.99,0.05,0.56,8.68,9,8.68,"4,500.00",8.94,,164,MMF1,-,8.68,9,8.68,8.99,8.99,0,0,8.85,"4,500.00",8.94,"39,828.00",21,0.05,0.32,0.56,3.69,1.55,9.5,9.23,10.16,8.22,
,,165,MMKJL,439,-5,-1.13,445,445,437,"1,715.00",444,,165,MMKJL,-,445,445,437,439,439,0,0,440.96,"1,715.00",444,"756,239.00",36,-5,8,-1.13,1.83,-0.45,509.94,539.63,699.9,429.1,
,,166,MNBBL,363,-0.2,-0.06,363.2,363.9,361.1,"39,694.00",363.2,,166,MNBBL,-,363.2,363.9,361.1,363,363,0,0,362.87,"39,694.00",363.2,"14,403,852.80",203,-0.2,2.8,-0.06,0.78,0.04,373.49,367.47,477,340.1,
